Assignment 8
facility_name,facility_mean_years_experience,facility_std_years_experience,normalized_years_experience,facility_total_encounter_charges
Cardiology Specialty Center,19.31972789115646,10.484611924077868,0.6371501546473383,276658.83
City General Hospital,19.5630081300813,10.702137018258142,-0.05260707549537005,295508.13
Community Health Clinic,20.16078431372549,11.04401051893677,0.8909096626993932,334992.21
Emergency Medical Center,19.66868686868687,11.023866696226115,1.3000259823732523,310735.25
Northside Urgent Care,20.137014314928425,10.581438670904161,-0.8634945208398286,297283.06
Oncology Treatment Center,19.3811394891945,10.872386004882548,-1.1387693081936572,334927.3
Pediatric Care Center,19.811676082862522,10.999242478915267,0.6535289981030022,361811.04
Primary Care Clinic,20.102970297029703,11.077168491755957,-0.2801230566583013,323315.71
Regional Medical Center,20.209205020920503,11.575934653337479,1.3641054007269142,316284.98
Surgical Specialty Center,20.778181818181817,11.35813247735185,-1.6532807532951,349909.18
